Sci name,ARK or DOI,Object,ID,side,NCBI,Rmax,Rmin,Rmed,L art,# trochlea,Morph_type,Long(mm),Mult,
Bos javanicus,ark:/87602/m4/398872,MNHN:ZM:AC-1944-101,ID 000398872,,9906,,,,,2,Type 2,313.7,1,ok
Bos javanicus,ark:/87602/m4/398920,MNHN:ZM:MO-1967-1689,ID 000398920,,9906,,,,,2,Type 2,281.9,1,ok
Bos taurus,ark:/87602/m4/398837,NHN:ZM:AC-1926-302 ,ID 000398837,,9913,,,,,2,Type 2,328.1,1,ok
Boselaphus tragocamelus,ark:/87602/m4/398475,MNHN:ZM:AC-1864-103,ID 000398475,,9917,,,,,2,Type 2,248.1,1,ok
Boselaphus tragocamelus,ark:/87602/m4/398492,MNHN:ZM:AC-1907-146,ID 000398492,,9917,,,,,2,Type 2,266.3,1,ok
Capra hircus,ark:/87602/m4/399077,MNHN:ZM:2007-1349 ,ID 000399077,,9925,,,,,2,Type 2,184,1,ok
Connochaetes taurinus,ark:/87602/m4/397792,MNHN:ZM:2013-26,ID 000397792,,9927,,,,,2,Type 2,202.3,1,ok
Connochaetes taurinus,ark:/87602/m4/397823,MNHN:ZM:MO-1976-344 ,ID 000397823,,9927,,,,,2,Type 2,206.1,1,ok
Ovis aries,ark:/87602/m4/M106904,imnh:r:862,ID 000106904,left,9940,,,,,2,Type 2,227.4,1,ok
Ovis aries,ark:/87602/m4/M107004,imnh:r:862,ID 000107004,right,9940,,,,,2,Type 2,228.1,1,ok
Ovis aries,ark:/87602/m4/399310,MNHN:ZM:AC-2000-438,ID 000399310,,9940,,,,,2,Type 2,159.2,1,ok
Taurotragus oryx,ark:/87602/m4/400115,MNHN:ZM:AC-A7983,ID 000400115,,9945,,,,,2,Type 2,334.2,1,ok
Oryx gazella,ark:/87602/m4/399838,MNHN:ZM:AC-1905-227,ID 000399838,,9958,,,,,2,Type 2,194.2,1,ok
Oryx gazella,ark:/87602/m4/399891,MNHN:ZM:AC-1972-106 ,ID 000399891,,9958,,,,,2,Type 2,221.1,1,ok
Oryx gazella,ark:/87602/m4/399913,MNHN:ZM:AC-1994-9,ID 000399913,,9958,,,,,2,Type 2,239.2,1,ok
Kobus ellipsiprymnus,ark:/87602/m4/400043,MNHN:ZM:AC-1935-637,ID 000400043,,9962,,,,,2,Type 2,238.1,1,ok
Kobus ellipsiprymnus,ark:/87602/m4/400060,MNHN:ZM:MO-1974-112,ID 000400060,,9962,,,,,2,Type 2,245.9,1,ok
Capricornis sp,ark:/87602/m4/399139,MNHN:ZM:AC-1874-283,ID 000399139,,9966,,,,,2,Type 2,268.7,1,ok
Syncerus caffer,ark:/87602/m4/398854,MNHN:ZM:AC-1936-72,ID 000398854,,9970,,,,,2,Type 2,300.2,1,ok
Marmota monax,doi.org/10.17602/M2/M158256,amnh:mammals:m-67882,ID 000158256,,9995,,,,,1,Type I ,68.04,1,ok
Hystrix cristata,ark:/87602/m4/447002,AMNH:Mammals:M-87220,ID 000447002,left,10137,,,,,1,Type I ,110.4,1,ok
Hydrochoerus hydrochaeris,doi.org/10.17602/M2/M158236,mnh:mammals:m-206440 ,ID 000158236,,10149,,,,,2,Type 2,175.2,1,ok
Myocastor coypus,ark:/87602/m4/M118959,imnh:r:2124,ID 000118959,left,10157,,,,,1,Type I ,67.77,1,ok
Myocastor coypus,ark:/87602/m4/M119027,imnh:r:2124 ,ID 000119027,right,10157,,,,,1,Type I ,67.79,1,ok
Myocastor coypus,doi.org/10.17602/M2/M158266,mnh:mammals:m-206456 ,ID 000158266,,10157,,,,,1,Type I ,69.42,1,ok
Bubalus depressicornis,ark:/87602/m4/398560,MNHN:ZM:2009-421,ID 000398560,,27596,,,,,2,Type 2,206.4,1,ok
Bubalus depressicornis,ark:/87602/m4/398733, MNHN:ZM:2009-421,ID 000398733,,27596,,,,,2,Type 2,207.6,1,ok
Ursus maritimus,ark:/87602/m4/M169471,mvz:Mammal specimens:125562 ,ID 000169471,left,29073,,,,,1,Type I ,259.7,1,ok
Vombatus ursinus,ark:/87602/m4/446918,nmv:mammalogy:6697,ID 000446918,left,29139,,,,,1,Type I ,124.8,1,ok
Bos frontalis,ark:/87602/m4/398890,MNHN:ZM:AC-1965-120,ID 000398890,,30520,,,,,2,Type 2,306.6,1,ok
Bos frontalis,ark:/87602/m4/398903,MNHN:ZM:AC-1970-280,ID 000398903,,30520,,,,,2,Type 2,321.3,1,ok
Bos grunniens,ark:/87602/m4/398546,MNHN:ZM:2008-107,ID 000398546,,30521,,,,,2,Type 2,319,1,ok
Bos grunniens,ark:/87602/m4/398803,MNHN:ZM:AC-1886-300,ID 000398803,,30521,,,,,2,Type 2,286.7,1,ok
Taxidea taxus, ark:/87602/m4/M106526,imnh:r:230 ,ID 000106526,,30554,,,,,1,Type I ,0.1015,1000,ok
Taxidea taxus,ark:/87602/m4/M106542,imnh:r:230 ,ID 000106542,right,30554,,,,,1,Type I ,0.1012,1000,ok
Lasiorhinus latifrons,ark:/87602/m4/446905,nmv:c:22340,ID 000446905,left,30668,,,,,1,Type I ,111.7,1,ok
Canis simensis,doi.org/10.17602/M2/M158186,mnh:mammals:m-81001 ,ID 000158186,,32534,,,,,1,Type I ,185.1,1,ok
Acinonyx jubatus,ark:/87602/m4/M31645,uf:mammals:14386 ,ID 000031645,right,32536,,,,,1,Type I ,218.1,1,ok
Acinonyx jubatus,doi.org/10.17602/M2/M158176,amnh:mammals:m-119657,ID 000158176,,32536,,,,,1,Type I ,241.9,1,ok
Leopardus pardalis,ark:/87602/m4/M31875,uf:mammals:4644,ID 000031875,right,32538,,,,,1,Type I ,153.6,1,ok
Erethizon dorsatum,ark:/87602/m4/M106602,imnh:r:822,ID 000106602,right,34844,,,,,1,Type I ,92.81,1,ok
Rupicapra rupicapra,ark:/87602/m4/399173,MNHN:ZM:AC-1923-2326 ,ID 000399173,,34869,,,,,2,Type 2,165,1,ok
Rupicapra rupicapra,ark:/87602/m4/399297,MNHN:ZM:AC-1995-183,ID 000399297,,34869,,,,,2,Type 2,174.9,1,ok
Naemorhedus goral,ark:/87602/m4/399203,MNHN:ZM:AC-1963-320,ID 000399203,,34871,,,,,2,Type 2,164.7,1,ok
Oreamnos americanus,ark:/87602/m4/M119273,imnh:r:2352,ID 000119273,left,34873,,,,,2,Type 2,206,1,ok
Oreamnos americanus,ark:/87602/m4/M119367,imnh:r:2352,ID 000119367,right,34873,,,,,2,Type 2,206,1,ok
Oreamnos americanus,ark:/87602/m4/399095,MNHN:ZM:2009-253 ,ID 000399095,,34873,,,,,2,Type 2,266.6,1,ok
Saiga tatarica,ark:/87602/m4/398090,MNHN:ZM:AC-1959-177,ID 000398090,,34875,,,,,2,Type 2,139.3,1,ok
Saiga tatarica,ark:/87602/m4/398117,MNHN:ZM:AC-1964-313 ,ID 000398117,,34875,,,,,2,Type 2,145.2,1,ok
Ovibos moschatus,ark:/87602/m4/M121146,imnh:r:2515 ,ID 000121146,left,37176,,,,,2,Type 2,302.6,1,ok
Ovibos moschatus,ark:/87602/m4/399281,MNHN:ZM:AC-1977-43 ,ID 000399281,,37176,,,,,2,Type 2,295.2,1,ok
Hemitragus jemlahicus,ark:/87602/m4/M119750,imnh:r:2261 ,ID 000119750,left,37179,,,,,2,Type 2,239.3,1,ok
Hemitragus jemlahicus,ark:/87602/m4/399242,MNHN:ZM:AC-1972-133,ID 000399242,,37179,,,,,2,Type 2,186.8,1,ok
Hippotragus equinus,ark:/87602/m4/399857,MNHN:ZM:AC-1969-167,ID 000399857,,37186,,,,,2,Type 2,250.8,1,ok
