Sci name,NCBI,mass inf kg,mass sup kg,Avg mass kg,refMass,Speed max km/hr,refSpeed,stance,Diet
Tetracerus quadricornis,73823,17.00,22.00,19.50,Mammals Species,,,Ungulates,herbivore
Martes pennanti,76720,2.20,5.50,3.85,https://www.gbif.org/,12.70,Griffin_Heart Rate of Fishers,Plantigrade,carnivore
Bubalus bubalis,89462,250.00,1200.00,725.00,ADW,,,Ungulates,herbivore
Dicerorhinus sumatrensis,89632,800.00,2000.00,1400.00,ADW,48.28,https://a-z-animals.com/,Ungulates,herbivore
Genetta genetta,94190,1.40,6.00,3.70,https://www.gbif.org/,,,Digitigrade,carnivore
Rhinoceros sondaicus,102233,1200.00,1500.00,1350.00,Mammals Species,42.00,https://animalia.bio/,Ungulates,herbivore
Caluromysiops irrupta,126286,,,0.45,ADW,,,Plantigrade,omnivore
Tupaia minor,143289,0.04,0.05,0.04,https://www.gbif.org/,,,Plantigrade,omnivore
Tolypeutes matacus,183749,1.00,2.00,1.50,https://www.gbif.org/,48.28,https://a-z-animals.com/,Ungulates,omnivore
Acrobates pygmaeus,190720,0.01,0.01,0.01,Makarov_2021_Running of the Acrobatespygmaeus,6.34,Makarov_2021_Running of the Acrobatespygmaeus,Plantigrade,omnivore
Urogale everetti,192726,,,0.35,ADW,,,Plantigrade,omnivore
Ceratotherium simum cottoni,310713,1000.00,3600.00,2300.00,ADW,39.99,Christansen_2002_Locomotion in terrestrial mammals,Ungulates,herbivore
Ptilocercus lowii,320338,0.05,0.06,0.06,https://www.gbif.org/,,,Plantigrade,omnivore
Tupaia palawanensis,320359,0.05,0.30,0.18,ADW,,,Plantigrade,carnivore
Neovison vison,452646,0.40,1.60,1.00,www.wikipedia.com,6.50,www.wikipedia.com,Plantigrade,carnivore
Hemibelideus lemuroides,596256,0.75,1.14,0.95,ADW,,,Plantigrade,herbivore
Geocapromys brownii,1543402,1.00,2.00,1.50,ADW,,,Plantigrade,herbivore
Dasypus hybridus,1756220,1.00,10.00,5.50,ADW,9.00,Costa_2017_Armadilo,Digitigrade,carnivore
